  PID  PPID STAT COMMAND
  293     1 S    /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
  294     1 Ss   /usr/libexec/searchpartyd
  295     1 Ss   /usr/sbin/cupsd -l
  299     1 Ss   /System/Library/CoreServices/ReportCrash daemon
  303     1 Ss   /System/Library/CoreServices/backupd.bundle/Contents/Resources/backupd-helper -launchd
  304     1 Ss   /System/Library/CoreServices/Software Update.app/Contents/Resources/softwareupdated
  305     1 Ss   /System/Library/Frameworks/CoreServices.framework/Frameworks/Metadata.framework/Versions/A/Support/mds_stores
  309     1 S    /usr/sbin/distnoted agent
  310     1 Ss   /System/Library/PrivateFrameworks/FindMyMac.framework/Resources/FindMyMacd
  312     1 Ss   /usr/libexec/thermald
  313     1 Ss   /usr/sbin/BlueTool -R
  314     1 Ss   /usr/libexec/hidd
  316     1 S    /usr/sbin/distnoted agent
  317     1 Ss   /usr/libexec/secinitd
  318     1 Ss   /System/Library/PrivateFrameworks/WiFiPolicy.framework/XPCServices/WiFiCloudAssetsXPCService.xpc/Contents/MacOS/WiFiCloudAssetsXPCService
  320     1 Ss   /usr/libexec/locationd
  321     1 S    /usr/sbin/distnoted agent
  322     1 S    /usr/sbin/distnoted agent
  323     1 Ss   /System/Library/CoreServices/Software Update.app/Contents/Resources/suhelperd
  325     1 Ss   /usr/libexec/colorsync.displayservices
  326     1 Ss   /usr/libexec/colorsyncd
  327     1 Ss   /usr/libexec/wifianalyticsd
  328     1 Ss   /System/Library/CoreServices/appleeventsd --server
  330     1 S    /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  331     1 Ss   /usr/libexec/bootinstalld
  333     1 Ss   /System/Library/PrivateFrameworks/AccountPolicy.framework/XPCServices/com.apple.AccountPolicyHelper.xpc/Contents/MacOS/com.apple.AccountPolicyHelper
  334     1 Ss   /System/Library/Frameworks/SystemExtensions.framework/Versions/A/Helpers/sysextd
  335     1 S    /usr/sbin/distnoted agent
  338     1 Ss   /System/Library/Frameworks/GSS.framework/Helpers/GSSCred
  339     1 S    /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  343     1 Ss   /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  345     1 S    /usr/sbin/distnoted agent
  346     1 Ss   /usr/libexec/securityd_service
  347     1 S    /usr/sbin/cfprefsd agent
  348     1 S    /usr/libexec/UserEventAgent (Aqua)
  349     1 Ss   /usr/libexec/gamecontrollerd
  352     1 S    /usr/libexec/knowledge-agent
  353     1 S    /usr/libexec/lsd
  354     1 S    /System/Library/PrivateFrameworks/TCC.framework/Support/tccd
  355     1 S    /System/Library/PrivateFrameworks/iTunesCloud.framework/Support/itunescloudd
  356     1 S    /usr/libexec/trustd --agent
  357     1 S    /System/Library/Frameworks/CoreServices.framework/Versions/A/Frameworks/CarbonCore.framework/Versions/A/XPCServices/csnameddatad.xpc/Contents/MacOS/csnameddatad
  358     1 S    /System/Library/Frameworks/Accounts.framework/Versions/A/Support/accountsd
  359     1 S    /usr/libexec/secd
  361     1 S    /System/Library/CoreServices/backgroundtaskmanagementagent
  363     1 S    /System/Library/Frameworks/Security.framework/Versions/A/Resources/CloudKeychainProxy.bundle/Contents/MacOS/CloudKeychainProxy
  364     1 S    /System/Library/PrivateFrameworks/SyncedDefaults.framework/Support/syncdefaultsd
  365     1 S    /System/Library/CoreServices/sharedfilelistd
  366     1 S    /System/Library/PrivateFrameworks/AuthKit.framework/Versions/A/Support/akd
  367     1 S    /System/Library/PrivateFrameworks/CloudKitDaemon.framework/Support/cloudd
  368     1 Ss   /System/Library/PrivateFrameworks/CoreADI.framework/adid
  369     1 S    /System/Library/PrivateFrameworks/AppSSO.framework/Support/AppSSOAgent.app/Contents/MacOS/AppSSOAgent
  370     1 S    /usr/libexec/nsurlsessiond
  371     1 S    /usr/libexec/pkd
  372     1 S    /usr/libexec/containermanagerd --runmode=agent --bundle-container-mode=global --bundle-container-owner=_appinstalld --system-container-mode=none
  373     1 S    /usr/sbin/usernoted
  374     1 S    /usr/libexec/pboard
  375     1 S    /usr/sbin/distnoted agent
  376     1 S    /System/Library/PrivateFrameworks/DoNotDisturbServer.framework/Support/donotdisturbd
  377     1 S    /System/Library/CoreServices/NotificationCenter.app/Contents/MacOS/NotificationCenter
  378     1 S    /usr/libexec/secinitd
  379     1 S    /System/Library/Frameworks/ApplicationServices.framework/Versions/A/Frameworks/HIServices.framework/Versions/A/XPCServices/com.apple.hiservices-xpcservice.xpc/Contents/MacOS/com.apple.hiservices-xpcservice
  380     1 S    /System/Library/PrivateFrameworks/ViewBridge.framework/Versions/A/XPCServices/ViewBridgeAuxiliary.xpc/Contents/MacOS/ViewBridgeAuxiliary
  381     1 S    /System/Library/CoreServices/talagent
  382     1 S    /System/Library/PrivateFrameworks/IDS.framework/identityservicesd.app/Contents/MacOS/identityservicesd
  383     1 S    /System/Library/PrivateFrameworks/BiomeStreams.framework/Support/BiomeAgent
  384     1 Ss   /usr/libexec/symptomsd-diag
  385     1 S    /System/Library/CoreServices/Keychain Circle Notification.app/Contents/MacOS/Keychain Circle Notification
  387     1 S    /System/Library/PrivateFrameworks/CoreCDP.framework/Versions/A/Resources/cdpd
  388     1 S    /System/Library/PrivateFrameworks/ProtectedCloudStorage.framework/Helpers/ProtectedCloudKeySyncing
  389     1 S    /usr/libexec/neagent
  390     1 Ss   /usr/libexec/rtcreportingd
  391     1 S    /System/Library/PrivateFrameworks/CloudServices.framework/Helpers/com.apple.sbd
  393     1 S    /usr/libexec/networkserviceproxy
  394     1 Ss   /System/Library/PrivateFrameworks/MobileSoftwareUpdate.framework/Versions/A/XPCServices/com.apple.MobileSoftwareUpdate.CleanupPreparePathService.xpc/Contents/MacOS/com.apple.MobileSoftwareUpdate.CleanupPreparePathService
  395     1 S    /System/Library/Frameworks/Contacts.framework/Support/contactsd
  396     1 Ss   /System/Library/Frameworks/CoreMediaIO.framework/Versions/A/Resources/UVCAssistant.systemextension/Contents/MacOS/UVCAssistant
  397     1 S    /usr/libexec/rapportd
  398     1 S    /System/Library/PrivateFrameworks/CoreDuetContext.framework/Resources/ContextStoreAgent
  404     1 S    /System/Library/Frameworks/CoreTelephony.framework/Support/CommCenter -L
  405     1 S    /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -tw
  406     1 S    /System/Library/CoreServices/APFSUserAgent
  408     1 Ss   /System/Library/Frameworks/NetFS.framework/Versions/A/XPCServices/PlugInLibraryService.xpc/Contents/MacOS/PlugInLibraryService
  409     1 S    /System/Library/CoreServices/WiFiAgent.app/Contents/MacOS/WiFiAgent
  410     1 S    /Applications/BitTorrent Web.app/Contents/MacOS/BitTorrent Web
  411     1 S    /usr/libexec/routined LAUNCHED_BY_LAUNCHD
  412     1 Ss   /System/Library/Frameworks/CryptoTokenKit.framework/ctkd -s
  413     1 S    /System/Library/Frameworks/LocalAuthentication.framework/Support/coreauthd
  415     1 S    /System/Library/PrivateFrameworks/CloudDocsDaemon.framework/Versions/A/Support/bird
  417     1 S    /System/Library/PrivateFrameworks/FamilyCircle.framework/Versions/A/Resources/familycircled
  418     1 Ss   /usr/libexec/captiveagent
  419     1 S    /System/Library/PrivateFrameworks/FileProvider.framework/Support/fileproviderd
  421     1 S    /usr/libexec/dmd
